date,mlsno,address,city,state,zipcode,price,beds,baths,sqft,latitude,longitude,pricepersqft,Property Type,Time on Redfin,HOA Dues,Year Built,Lot Size,Status,Community,lastselldate,lastprice,askingyoy,rent_real,rent,mortgage,pmi,hoa,prop_tax,prop_mgmnt,repairs,vacancy,capex,noi_monthly,NOI,DownPayment,ROI,caprate,zestimate,gestimate_5yr_yoy,gestimate_all_yoy,gestimate_sqft,gestimatecaprate,agentname,agentphone,url_mls,url_zillow,url_redfin
2021-04-14 11:27:46.718781,6217065,310 W EARLL Drive 105 Phoenix AZ 85013,Phoenix,AZ,85013,154000,2,1,650,33.4843940734863,-112.079627990723,236.92,Townhouse,0,225,0,0,Active,0,2010-10-25,30000,16.28,0,1400,617,65.83,225,87.27,140,28,70,70,166.9,2002.8,77,2601.04,1.3,0,68531,52750,130000,102000,Brooke Castaneda,480-206-3658,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210405215243457062000000,https://www.zillow.com/homedetails/310-W-Earll-Dr-UNIT-105-Phoenix-AZ-85013/72291311_zpid/,
2021-04-14 11:27:47.579951,6212847,310 W EARLL Drive 203 Phoenix AZ 85013,Phoenix,AZ,85013,159000,2,1,650,33.4843826293945,-112.079627990723,244.62,Townhouse,0,225,0,0,Active,0,0,0,0,0,1400,637,67.97,225,90.1,140,28,70,70,141.93,1703.16,79.5,2142.34,1.07,0,0,0,130000,102000,Brooke Castaneda,480-206-3658,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210326193445009158000000,https://www.zillow.com/homedetails/310-W-Earll-Dr-UNIT-203-Phoenix-AZ-85013/2072203811_zpid/,
2021-04-14 11:27:49.337840,6218904,4732 N 14TH Street Phoenix AZ 85014,Phoenix,AZ,85014,224900,2,1,816,33.5066528320313,-112.05233001709,275.61,Townhouse,0,259,0,0,Active,0,2015-05-14,81000,17.26,0,1400,901,96.14,259,127.44,140,28,70,70,-221.58,-2658.96,112.45,-2364.57,-1.18,0,132680,111232,163200,97900,Derek Dickson,480-470-2210,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210408221109237841000000,https://www.zillow.com/homedetails/4732-N-14th-St-Phoenix-AZ-85014/7769262_zpid/,
2021-04-14 11:27:51.406730,6218408,4742 N 10TH Place Phoenix AZ 85014,Phoenix,AZ,85014,277000,2,2.5,1152,33.5069236755371,-112.06014251709,240.45,Townhouse,0,200,0,0,Active,0,2017-12-28,195000,-151.99,0,1400,1109,118.42,200,156.97,140,28,70,70,-422.39,-5068.68,138.5,-3659.7,-1.83,0,256567,232608,230400,104000,Lori Webster,480-518-2302,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210316150125180155000000,https://www.zillow.com/homedetails/4742-N-10th-Pl-Phoenix-AZ-85014/7769406_zpid/,
2021-04-14 11:27:52.561030,6211442,5035 N 10TH Place 102 Phoenix AZ 85014,Phoenix,AZ,85014,309900,2,1.75,1089,33.5104255676269,-112.059036254883,284.57,Townhouse,0,300,0,0,Active,0,2018-02-25,169000,20.9,0,1400,1241,132.48,300,175.61,140,28,70,70,-687.09,-8245.08,154.95,-5321.12,-2.66,0,219381,199854,217800,93900,Alicia Aber,480-688-9298,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210323211414905377000000,https://www.zillow.com/homedetails/5035-N-10th-Pl-UNIT-102-Phoenix-AZ-85014/7801006_zpid/,
2021-04-14 11:27:53.547034,6206063,6510 N 24TH Lane Phoenix AZ 85015,Phoenix,AZ,85015,209500,2,2,954,33.5317649841309,-112.111434936523,219.6,Townhouse,0,156,0,0,Active,0,1995-04-13,35500,6.82,0,1400,839,89.56,156,118.72,140,28,70,70,-41.28,-495.36,104.75,-472.9,-0.24,0,575641,151190,190800,109500,Brock Embree,602-638-2500,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210306184429357605000000,https://www.zillow.com/homedetails/6510-N-24th-Ln-Phoenix-AZ-85015/7772900_zpid/,
2021-04-14 11:27:54.588,6154918,2450 W GLENROSA Avenue 47 Phoenix AZ 85015,Phoenix,AZ,85015,210000,2,2.5,1326,33.4989356994629,-112.11213684082,158.37,Townhouse,0,315,0,0,Active,0,2010-12-20,55000,12.47,0,1400,841,89.78,315,119,140,28,70,70,-202.78,-2433.36,105,-2317.49,-1.16,0,166037,97709,265200,92000,Jo Ann Marrese,602-326-3312,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20201031224044207196000000,https://www.zillow.com/homedetails/2450-W-Glenrosa-Ave-UNIT-47-Phoenix-AZ-85015/88792718_zpid/,
2021-04-14 11:27:55.608246,6217616,1802 W ROSE Lane Phoenix AZ 85015,Phoenix,AZ,85015,250000,2,2,1371,33.5279388427734,-112.097679138184,182.35,Townhouse,0,170,0,0,Active,0,2015-08-27,145000,9.68,0,1400,1001,106.88,170,141.67,140,28,70,70,-257.55,-3090.6,125,-2472.48,-1.24,0,264974,198405,274200,108000,Janice Dunnigan,602-757-9634,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210406200707377060000000,https://www.zillow.com/homedetails/1802-W-Rose-Ln-Phoenix-AZ-85015/7774228_zpid/,
2021-04-14 11:27:56.743138,6162913,1617 W COLTER Street 2 Phoenix AZ 85015,Phoenix,AZ,85015,289000,2,2.5,1254,33.5126342773437,-112.094009399414,230.46,Townhouse,0,125,0,0,Active,0,0,0,0,0,1400,1158,123.55,125,163.77,140,28,70,70,-408.32,-4899.84,144.5,-3390.89,-1.7,284766,0,0,250800,113000,Beth Jo Zeitzer,602-319-1326,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20201001220104446307000000,https://www.zillow.com/homedetails/1617-W-Colter-St-2-Phoenix-AZ-85015/2075425301_zpid/,
2021-04-14 11:27:57.728603,6182196,1701 E Colter Street 109 Phoenix AZ 85016,Phoenix,AZ,85016,330000,3,2,1412,33.5110702514648,-112.045700073242,233.71,Townhouse,0,344,0,0,Active,0,2005-11-01,320963,0.18,0,1800,1322,141.07,344,187,180,36,90,90,-500.07,-6000.84,165,-3636.87,-1.82,0,954114,700461,282400,125000,Stephanie Moser,623-451-6698,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210117031157954140000000,https://www.zillow.com/homedetails/1701-E-Colter-St-UNIT-109-Phoenix-AZ-85016/146189865_zpid/,
2021-04-14 11:27:59.807761,6217732,5122 N 31st Way 237 Phoenix AZ 85016,Phoenix,AZ,85016,375000,2,2,1319,33.512791,-112.01542,284.31,Townhouse,0,432,0,0,Active,0,0,0,0,0,1400,1502,160.31,432,212.5,140,28,70,70,-1144.81,-13737.72,187.5,-7326.78,-3.66,0,0,0,263800,79000,Michael Braden,,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210406164448785316000000,https://www.zillow.com/homedetails/5122-N-31st-Way-UNIT-237-Phoenix-AZ-85016/7810507_zpid/,
2021-04-14 11:28:00.864540,6177596,4808 N 24th Street 525 Phoenix AZ 85016,Phoenix,AZ,85016,385000,2,2,1348,33.512386,-112.015589,285.61,Townhouse,0,630,0,0,Active,0,0,0,0,0,1400,1542,164.59,630,218.17,140,28,70,70,-1392.76,-16713.12,192.5,-8682.14,-4.34,0,0,0,269600,58000,Steven Stein,623-204-2821,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210106194401200782000000,https://www.zillow.com/homedetails/4808-N-24th-St-UNIT-525-Phoenix-AZ-85016/67790395_zpid/,
2021-04-14 11:28:02.029709,6164095,231 N ROBSON Street 17 Mesa AZ 85201,Mesa,AZ,85201,200000,2,1,1008,33.4204483032227,-111.836326599121,198.41,Townhouse,0,0,0,0,Active,0,0,0,0,0,1400,801,85.5,0,113.33,140,28,70,70,162.17,1946.04,100,1946.04,0.97,191715,0,0,201600,126000,,,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20201123203952454974000000,https://www.zillow.com/homedetails/231-N-Robson-APT-17-Mesa-AZ-85201/7625845_zpid/,
2021-04-14 11:28:05.995830,6211420,155 E JASMINE Street Mesa AZ 85201,Mesa,AZ,85201,350000,3,2,1653,33.4493255615234,-111.827224731445,211.74,Townhouse,0,0,0,0,Active,0,2018-09-04,237900,14.82,0,1800,1402,149.62,0,198.33,180,36,90,90,-255.95,-3071.4,175,-1755.09,-0.88,0,316597,270224,330600,162000,Carsen Field,480-809-7752,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210322235503866236000000,https://www.zillow.com/homedetails/155-E-Jasmine-St-Mesa-AZ-85201/7615337_zpid/,
2021-04-14 11:28:08.953286,6220026,1931 W PECOS Avenue Mesa AZ 85202,Mesa,AZ,85202,370000,3,1.75,1694,33.3600311279297,-111.875427246094,218.42,Townhouse,0,0,0,0,Active,0,0,0,0,0,1800,1482,158.17,0,209.67,180,36,90,90,-355.84,-4270.08,185,-2308.15,-1.15,0,0,0,338800,162000,Gary Weller,480-345-2422,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210410202137074583000000,https://www.zillow.com/homedetails/1931-W-Pecos-Ave-Mesa-AZ-85202/8191388_zpid/,
2021-04-14 11:28:10.332403,6218279,1411 W IMPALA Avenue Mesa AZ 85202,Mesa,AZ,85202,399900,3,2,1615,33.382889,-111.863933,247.62,Townhouse,0,0,0,0,Active,0,0,0,0,0,1800,1602,170.96,0,226.61,180,36,90,90,-505.57,-6066.84,199.95,-3034.18,-1.52,0,0,0,323000,162900,Dawn Bernhardt,480-980-0866,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210327231326207941000000,https://www.zillow.com/homedetails/1411-W-Impala-Ave-Mesa-AZ-85202/8250895_zpid/,
2021-04-14 11:28:11.412549,6203730,1224 E EVERGREEN Street 143 Mesa AZ 85203,Mesa,AZ,85203,160000,2,2,897,33.4321098327637,-111.804290771484,178.37,Townhouse,0,145,0,0,Active,0,2005-06-21,105900,2.61,0,1400,641,68.4,145,90.67,140,28,70,70,216.93,2603.16,80,3253.95,1.63,0,380141,209735,179400,110000,Cynthia Stevens,480-329-4130,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210306221644900045000000,https://www.zillow.com/homedetails/1224-E-Evergreen-St-APT-143-Mesa-AZ-85203/7619497_zpid/,
2021-04-14 11:28:12.539615,6217599,520 N STAPLEY Drive 254 Mesa AZ 85203,Mesa,AZ,85203,180000,2,2,879,33.4243087768555,-111.805770874023,204.78,Townhouse,0,196,0,0,Active,0,2006-01-12,89500,4.58,0,1400,721,76.95,196,102,140,28,70,70,66.05,792.6,90,880.67,0.44,0,307019,173006,175800,105000,Brandon Boxrud,480-209-0965,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210406223844526625000000,https://www.zillow.com/homedetails/520-N-Stapley-Dr-UNIT-254-Mesa-AZ-85203/7619731_zpid/,
2021-04-14 11:28:13.568449,6213490,1927 E HAMPTON Avenue 115 Mesa AZ 85204,Mesa,AZ,85204,184900,2,2,988,33.3897132873535,-111.789962768555,187.15,Townhouse,0,186,0,0,Active,0,2015-07-06,73000,11.89,0,1400,741,79.04,186,104.78,140,28,70,70,51.18,614.16,92.45,664.32,0.33,170169,123861,94162,197600,105900,Premier Broker Flex Atlanta Ga,,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210319002458932602000000,https://www.zillow.com/homedetails/1927-E-Hampton-Ave-UNIT-115-Mesa-AZ-85204/7628135_zpid/,
2021-04-14 11:28:14.542393,6220431,915 S ASHLAND Mesa AZ 85204,Mesa,AZ,85204,315000,3,3,1772,33.3983650207519,-111.816566467285,177.77,Townhouse,0,0,0,0,Active,0,0,0,0,0,1800,1262,134.66,0,178.5,180,36,90,90,-81.16,-973.92,157.5,-618.36,-0.31,292885,0,0,354400,162000,Premier Broker Flex Atlanta Ga,,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210412134154067347000000,https://www.zillow.com/homedetails/915-S-Ashland-Mesa-AZ-85204/7631066_zpid/,
2021-04-14 11:28:15.537175,6220407,2110 E FARMDALE Avenue Mesa AZ 85204,Mesa,AZ,85204,349900,2,2,1339,33.397274017334,-111.785621643066,261.31,Townhouse,0,87,0,0,Active,0,2021-03-11,311000,134.68,0,1400,1401,149.58,87,198.28,140,28,70,70,-673.86,-8086.32,174.95,-4622.07,-2.31,0,313507,312205,267800,116900,Derek Dickson,480-470-2210,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210410140429072012000000,https://www.zillow.com/homedetails/2110-E-Farmdale-Ave-Mesa-AZ-85204/7647646_zpid/,
2021-04-14 11:28:16.976509,6214485,2458 E ALPINE Avenue Mesa AZ 85204,Mesa,AZ,85204,358000,3,1.75,1508,33.405645,-111.784258,237.4,Townhouse,0,0,0,0,Active,0,0,0,0,0,1800,1434,153.04,0,202.87,180,36,90,90,-295.91,-3550.92,179,-1983.75,-0.99,0,0,0,301600,162000,Sergio Galindo,480-529-4411,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210330221842418778000000,https://www.zillow.com/homedetails/2458-E-Alpine-Ave-Mesa-AZ-85204/7641025_zpid/,
